Number,Time (h)
13880,7.920833333333333
32574,7.921666666666667
32650,7.9222222222222225
5816,7.922777777777778
15069,7.922777777777778
27995,7.923055555555555
31496,7.923055555555555
3891,7.9238888888888885
45711,7.9238888888888885
45707,7.9238888888888885
13159,7.9238888888888885
35509,7.924166666666666
1124,7.924444444444444
39252,7.924444444444444
26533,7.924444444444444
16501,7.924722222222222
15826,7.925
20111,7.925
41201,7.925833333333333
21100,7.926111111111111
38141,7.926111111111111
37138,7.926388888888889
31134,7.926388888888889
37948,7.926666666666667
38520,7.926666666666667
38521,7.926666666666667
20859,7.926666666666667
33674,7.927222222222222
45631,7.928333333333334
31125,7.928333333333334
51513,7.928888888888888
31136,7.928888888888888
4677,7.93
21054,7.930555555555555
14453,7.931388888888889
14909,7.931388888888889
25728,7.932222222222222
32427,7.932777777777778
15135,7.933888888888889
21286,7.934444444444445
1174,7.934722222222222
37133,7.9350000000000005
40695,7.9350000000000005
29921,7.935277777777777
14691,7.935833333333333
32296,7.936111111111111
13237,7.936388888888889
15106,7.936388888888889
31366,7.9375
15413,7.937777777777778
27895,7.9383333333333335
38721,7.938888888888889
16010,7.939166666666667
34771,7.939444444444445
34772,7.939722222222223
34773,7.939722222222223
14361,7.94
11751,7.940555555555555
24876,7.940555555555555
34151,7.940833333333333
38522,7.940833333333333
27707,7.940833333333333
31887,7.941111111111111
37404,7.941944444444444
33218,7.9425
33947,7.943888888888889
31765,7.943888888888889
51940,7.943888888888889
31764,7.943888888888889
51959,7.944166666666667
31766,7.944166666666667
33961,7.9447222222222225
29737,7.9447222222222225
36645,7.945833333333333
15211,7.946111111111112
20779,7.946111111111112
32953,7.946944444444444
37307,7.946944444444444
36490,7.947777777777778
4133,7.948333333333333
16406,7.948611111111111
39565,7.9494444444444445
34229,7.95
16346,7.95
35626,7.951388888888889
30381,7.951666666666666
3074,7.9525
46215,7.9527777777777775
3729,7.9527777777777775
37766,7.953611111111111
19362,7.954166666666667
32585,7.954444444444444
20235,7.954722222222222
16218,7.955277777777778
34641,7.9558333333333335
32855,7.956666666666667
25187,7.9575
3812,7.958055555555555
27122,7.958611111111111
31796,7.958611111111111
38608,7.958888888888889
14737,7.960833333333333
14818,7.960833333333333
33738,7.961666666666667
39005,7.961666666666667
39251,7.961944444444445
11073,7.961944444444445
41206,7.962777777777777
24940,7.962777777777777
1718,7.963333333333333
14703,7.963333333333333
41438,7.963888888888889
15976,7.963888888888889
40716,7.964444444444444
20148,7.964444444444444
21024,7.964722222222222
26589,7.964722222222222
34514,7.965
41408,7.965
39520,7.965277777777778
32224,7.965277777777778
32450,7.965833333333333
23058,7.966111111111111
26642,7.966388888888889
5804,7.967222222222222
39812,7.967222222222222
36628,7.967777777777778
37298,7.968333333333334
37591,7.968333333333334
16507,7.968333333333334
13324,7.968611111111111
35194,7.969166666666666
14786,7.970277777777778
37179,7.970555555555555
26602,7.970833333333333
35936,7.971388888888889
5552,7.972222222222222
14410,7.9725
3823,7.972777777777778
16162,7.972777777777778
20438,7.972777777777778
34459,7.973055555555556
5875,7.973333333333334
41698,7.973888888888889
4250,7.973888888888889
35217,7.974166666666667
39624,7.974166666666667
25158,7.974166666666667
31076,7.974166666666667
31561,7.974166666666667
35222,7.974722222222223
26659,7.974722222222223
39452,7.9752777777777775
14408,7.976111111111111
1113,7.976388888888889
3868,7.976388888888889
39277,7.978055555555556
41654,7.978055555555556
37955,7.978055555555556
36450,7.978611111111111
36151,7.978888888888889
4034,7.979166666666667
51433,7.98
28157,7.980555555555555
38831,7.981111111111111
15566,7.981388888888889
35659,7.9816666666666665
30633,7.981944444444444
21160,7.9825
1283,7.983055555555556
5414,7.983055555555556
1643,7.983333333333333
5073,7.983333333333333
25993,7.984444444444445
34717,7.9847222222222225
36159,7.985
40011,7.985
41101,7.985555555555555
39519,7.985833333333333
52850,7.9863888888888885
20568,7.9863888888888885
1431,7.986666666666666
14815,7.9880555555555555
30307,7.9880555555555555
30335,7.988611111111111
36901,7.989166666666667
16471,7.989444444444445
13423,7.989722222222222
33031,7.99
36969,7.990277777777778
37550,7.9911111111111115
52110,7.9911111111111115
3512,7.991388888888888
38279,7.991388888888888
38607,7.991944444444444
21381,7.9925
15852,7.993055555555555
16503,7.993333333333333
20663,7.993333333333333
29886,7.993333333333333
25272,7.993888888888889
34978,7.994166666666667
31353,7.994166666666667
35242,7.9944444444444445
13646,7.995
33463,7.995277777777778
15765,7.995277777777778
38126,7.995833333333334
33018,7.996111111111111
12957,7.996111111111111
19824,7.996388888888889
20834,7.996388888888889
30993,7.996388888888889
28294,7.9975
41351,7.998055555555555
39119,7.998888888888889
34334,7.9991666666666665
12215,7.9991666666666665
45836,7.9991666666666665
15797,7.999444444444444
16300,7.999444444444444
21262,7.999444444444444
39539,8.0
33237,8.000555555555556
33246,8.000555555555556
1044,8.000555555555556
32307,8.001111111111111
32573,8.002777777777778
45613,8.003055555555555
15542,8.003333333333334
5603,8.00361111111111
37082,8.00388888888889
37112,8.00388888888889
33829,8.004444444444445
38991,8.004722222222222
15586,8.004722222222222
41172,8.005277777777778
37209,8.005555555555556
38970,8.005833333333333
41252,8.006666666666666
15816,8.006666666666666
37638,8.006944444444445
21292,8.006944444444445
13921,8.0075
15054,8.0075
39637,8.008055555555556
33071,8.008888888888889
52734,8.009166666666667
38002,8.009722222222223
45985,8.009722222222223
1826,8.010277777777778
4115,8.010555555555555
15903,8.010833333333334
32905,8.011111111111111
41171,8.011111111111111
21588,8.011111111111111
34302,8.011388888888888
34422,8.011388888888888
38209,8.011944444444444
41482,8.012222222222222
30143,8.014166666666666
20606,8.015277777777778
21279,8.015277777777778
34468,8.017222222222221
33874,8.018055555555556
3871,8.018611111111111
39101,8.019166666666667
27840,8.019166666666667
39060,8.019444444444444
41431,8.02
20865,8.02
5283,8.020277777777778
21380,8.020277777777778
20828,8.020555555555555
39135,8.02111111111111
39129,8.02138888888889
34615,8.023055555555555
36501,8.023055555555555
32784,8.023333333333333
16405,8.023333333333333
20421,8.023888888888889
30418,8.024444444444445
1542,8.025277777777777
39305,8.025277777777777
40063,8.025277777777777
24988,8.026388888888889
20898,8.026666666666667
25569,8.0275
40903,8.027777777777779
5772,8.028055555555556
39227,8.028055555555556
33926,8.028333333333334
5796,8.028333333333334
35854,8.028611111111111
31107,8.028888888888888
33124,8.029444444444444
35476,8.030277777777778
15401,8.030833333333334
13855,8.031666666666666
38582,8.032222222222222
11845,8.0325
19233,8.0325
37119,8.032777777777778
3535,8.033888888888889
21178,8.035
3968,8.035277777777777
39170,8.035277777777777
39749,8.035555555555556
46276,8.035555555555556
31258,8.035555555555556
5450,8.035833333333333
13779,8.036388888888888
15981,8.036388888888888
13574,8.036666666666667
39387,8.038055555555555
32218,8.038055555555555
32809,8.038333333333334
19258,8.03888888888889
15273,8.039444444444445
32229,8.039444444444445
41674,8.039722222222222
14693,8.04138888888889
3791,8.042777777777777
29830,8.043055555555556
41350,8.044722222222223
40681,8.045
31102,8.045555555555556
33633,8.045833333333333
15269,8.046111111111111
25621,8.046944444444444
40453,8.047222222222222
12693,8.047222222222222
37576,8.049722222222222
32717,8.050555555555556
5881,8.050833333333333
15992,8.050833333333333
3700,8.051666666666666
51763,8.051944444444445
45619,8.052777777777777
14950,8.053055555555556
29804,8.053055555555556
41183,8.053611111111111
36064,8.053611111111111
41268,8.055
39349,8.055277777777778
1373,8.055277777777778
35002,8.055555555555555
3679,8.055555555555555
13380,8.055555555555555
35000,8.055833333333334
15510,8.056111111111111
16028,8.05638888888889
41626,8.056666666666667
33102,8.057222222222222
37896,8.057777777777778
14063,8.058333333333334
21281,8.05888888888889
33785,8.059444444444445
15514,8.059722222222222
35286,8.06
35284,8.060277777777777
32636,8.060277777777777
31035,8.060833333333333
32556,8.060833333333333
15309,8.061111111111112
4134,8.061666666666667
5708,8.061666666666667
40530,8.061944444444444
23043,8.061944444444444
31660,8.061944444444444
33690,8.062222222222223
12960,8.0625
13937,8.062777777777777
5981,8.063333333333333
21148,8.063611111111111
35646,8.064722222222223
28297,8.06638888888889
40075,8.067222222222222
31344,8.068333333333333
33282,8.068888888888889
25915,8.068888888888889
33292,8.069166666666666
34353,8.069166666666666
11102,8.069166666666666
19470,8.069444444444445
30400,8.069722222222222
30189,8.070277777777777
23078,8.071388888888889
35657,8.071666666666667
35655,8.071944444444444
39366,8.071944444444444
31983,8.071944444444444
33014,8.072222222222223
53034,8.072222222222223
46420,8.0725
53035,8.0725
52968,8.073333333333334
16283,8.073611111111111
21012,8.073888888888888
14020,8.074166666666667
14596,8.074444444444444
13498,8.07638888888889
29761,8.077222222222222
34584,8.077777777777778
37537,8.077777777777778
33134,8.078055555555556
35111,8.078333333333333
35113,8.078333333333333
11124,8.078333333333333
21060,8.079444444444444
25579,8.079444444444444
30064,8.080555555555556
33967,8.080833333333333
33073,8.081388888888888
52116,8.081388888888888
52106,8.081666666666667
52112,8.081666666666667
52825,8.0825
16031,8.082777777777778
34635,8.08388888888889
13025,8.08388888888889
33474,8.084444444444445
33478,8.084444444444445
33142,8.085277777777778
4246,8.085277777777778
